area_unit_id,area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
505300,Wellsford,9,21,30,5.1, 102 , 204 , 255 , 561 ,94.9, 591 , 33 , 621 ,2.6
505400,Leigh,,3,6,3.9, 27 , 48 , 72 , 147 ,96.1, 153 , 9 , 162 ,2.4
505500,Warkworth,9,33,39,3.1, 195 , 453 , 588 ," 1,233 ",96.7," 1,275 ", 33 ," 1,305 ",2.4
505601,Waimauku,,6,6,2.3, 42 , 84 , 129 , 252 ,97.7, 258 , 9 , 270 ,3.2
505602,Huapai,,12,15,3.0, 93 , 174 , 219 , 486 ,97.0, 501 , 24 , 522 ,2.7
505603,Riverhead Urban,6,15,18,4.8, 81 , 138 , 135 , 354 ,95.2, 372 , 15 , 387 ,3.1
505604,Kumeu East,,12,12,3.0, 84 , 108 , 189 , 381 ,96.2, 396 , 24 , 417 ,3.0
505605,Kumeu West,,9,12,2.2, 108 , 156 , 261 , 522 ,97.8, 534 , 24 , 558 ,2.9
505700,Waipareira West,,,,, 57 , 99 , 132 , 288 ,99.0, 291 , 15 , 306 ,2.8
505803,Waiwera,,6,9,9.4, 33 , 27 , 30 , 87 ,90.6, 96 , 6 , 102 ,2.1
505804,Hatfields Beach,,9,9,2.2, 84 , 150 , 171 , 405 ,97.1, 417 , 15 , 432 ,2.7
505805,Orewa,15,63,75,2.4, 522 ," 1,179 "," 1,314 "," 3,015 ",97.6," 3,090 ", 126 ," 3,213 ",2.2
505806,Silverdale Central,,,,, 21 , 54 , 111 , 183 ,98.4, 186 , 3 , 192 ,2.8
505807,Red Beach West,,12,12,1.4, 126 , 381 , 327 , 834 ,98.6, 846 , 18 , 864 ,2.4
505808,Red Beach East,,18,18,1.3, 231 , 504 , 603 ," 1,338 ",98.7," 1,356 ", 48 ," 1,404 ",2.5
505902,Manly,,33,33,1.4, 375 , 879 ," 1,071 "," 2,325 ",98.5," 2,361 ", 57 ," 2,418 ",2.5
505904,Army Bay,,18,18,1.6, 174 , 357 , 600 ," 1,128 ",98.4," 1,146 ", 21 ," 1,170 ",2.8
505906,Vipond,,15,18,1.9, 189 , 402 , 330 , 921 ,98.4, 936 , 18 , 957 ,2.6
505907,Stanmore Bay West,6,18,24,2.7, 192 , 333 , 336 , 858 ,96.9, 885 , 21 , 903 ,2.9
505908,Stanmore Bay East,6,21,27,3.2, 186 , 318 , 321 , 828 ,97.2, 852 , 42 , 897 ,2.6
505909,Wade Heads,6,30,33,3.5, 162 , 333 , 420 , 915 ,96.5, 948 , 33 , 984 ,2.7
505910,Gulf Harbour,,9,9,1.4, 75 , 204 , 375 , 654 ,98.6, 663 , 24 , 687 ,2.7
506001,Weiti River,,6,6,4.3, 45 , 39 , 51 , 132 ,93.6, 141 , 9 , 150 ,2.6
506002,Stillwater,,,3,1.1, 48 , 123 , 99 , 270 ,98.9, 273 , 9 , 285 ,2.8
506003,Silverdale South,,6,6,2.1, 63 , 90 , 126 , 276 ,97.9, 282 , 9 , 288 ,3.0
506201,Silverdale North,,9,9,3.6, 51 , 78 , 111 , 240 ,96.4, 249 , 15 , 264 ,3.0
