id,centroid
505300,POINT (1736707.610139194 5982514.945204867)
505400,POINT (1761971.72791673 5982048.733604322)
505500,POINT (1748940.6602295688 5970062.499322721)
505601,POINT (1732719.2892384133 5930127.149557293)
505602,POINT (1737824.8932830929 5929487.254948586)
505603,POINT (1742340.7981177773 5931165.112597249)
505604,POINT (1740617.0076720752 5929404.2872591335)
505605,POINT (1736086.7097295085 5929054.032516993)
505700,POINT (1737485.3392110947 5923678.504540571)
505803,POINT (1752512.729734928 5953453.842363011)
505804,POINT (1751228.5257034984 5951542.948819394)
505805,POINT (1750929.8691889017 5949686.549513941)
505806,POINT (1749399.076691866 5946388.289961839)
505807,POINT (1751299.2159184623 5947369.4882475985)
505808,POINT (1752494.1252138363 5947474.748650893)
505902,POINT (1757310.100799579 5944683.8171169385)
505904,POINT (1763269.100415668 5947324.187873937)
505906,POINT (1753565.3548471013 5946181.043351256)
505907,POINT (1754497.3361793337 5945478.939635583)
505908,POINT (1755731.2533724036 5944833.761510486)
505909,POINT (1754985.1795748807 5944038.426777969)
505910,POINT (1760159.037992546 5945899.91113511)
506001,POINT (1750670.44280917 5946082.83843368)
506002,POINT (1753420.8506535715 5943895.725945948)
506003,POINT (1751783.3898248354 5942554.754369588)
506201,POINT (1748513.4886551562 5949481.805454706)
506202,POINT (1749960.9294064848 5950875.467034807)
506300,POINT (1749650.124701804 5939054.417492841)
506400,POINT (1744420.6753141282 5930939.903129179)
506613,POINT (1735087.2774605516 5966783.344841246)
506614,POINT (1741809.846966516 5948271.619296555)
506616,POINT (1761383.3133771317 5981411.433506596)
506620,POINT (1765624.3820332102 5967026.2898349445)
506631,POINT (1753871.153344855 5968952.198893909)
506633,POINT (1757337.8531169714 5965664.13575779)
506634,POINT (1756204.3998300827 5963410.337152431)
506642,POINT (1716532.4687341482 5950713.61162334)
506644,POINT (1726101.1208359506 5940509.343310266)
506645,POINT (1728224.5551623038 5942280.72033529)
506646,POINT (1733200.5126017195 5946542.001943272)
506647,POINT (1733893.5304374518 5945713.574988364)
506648,POINT (1730796.6605432113 5937740.648069339)
506652,POINT (1729379.8250943767 5928846.440921374)
506653,POINT (1739105.1359826485 5935322.399017537)
506654,POINT (1727461.121946555 5923559.864714751)
506655,POINT (1730201.7293827033 5923051.663504631)
506656,POINT (1731971.106621152 5920073.079447577)
506657,POINT (1757662.9049883224 5978698.511089885)
506658,POINT (1760051.1438361013 5976175.58344745)
506659,POINT (1753765.067769849 5975683.825592802)
506660,POINT (1742421.1769357054 5985822.124405637)
506661,POINT (1752797.6609247525 5976280.334183205)
506800,POINT (1730384.9182038459 5940293.413761993)
506901,POINT (1754725.7477213833 5937226.937311198)
506902,POINT (1755027.820492779 5936693.985232554)
506903,POINT (1756358.178717146 5937448.370361147)
507000,POINT (1755633.7617737132 5936238.0501797525)
507101,POINT (1755412.097039329 5935473.651318821)
507102,POINT (1754494.6953050543 5934728.22520486)
507200,POINT (1755609.648623271 5934310.279301)
507300,POINT (1755898.474235382 5933496.7600327125)
507400,POINT (1756019.1915071078 5932430.059188924)
