area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
Wellsford,9,21,30,5.1, 102 , 204 , 255 , 561 ,94.9, 591 , 33 , 621 ,2.6
Leigh,..C,3,6,3.9, 27 , 48 , 72 , 147 ,96.1, 153 , 9 , 162 ,2.4
Warkworth,9,33,39,3.1, 195 , 453 , 588 ," 1,233 ",96.7," 1,275 ", 33 ," 1,305 ",2.4
Waimauku,..C,6,6,2.3, 42 , 84 , 129 , 252 ,97.7, 258 , 9 , 270 ,3.2
Huapai,..C,12,15,3.0, 93 , 174 , 219 , 486 ,97.0, 501 , 24 , 522 ,2.7
Riverhead Urban,6,15,18,4.8, 81 , 138 , 135 , 354 ,95.2, 372 , 15 , 387 ,3.1
Kumeu East,..C,12,12,3.0, 84 , 108 , 189 , 381 ,96.2, 396 , 24 , 417 ,3.0
Kumeu West,..C,9,12,2.2, 108 , 156 , 261 , 522 ,97.8, 534 , 24 , 558 ,2.9
Waipareira West,..C,..C,..C,..C, 57 , 99 , 132 , 288 ,99.0, 291 , 15 , 306 ,2.8
Waiwera,..C,6,9,9.4, 33 , 27 , 30 , 87 ,90.6, 96 , 6 , 102 ,2.1
Hatfields Beach,..C,9,9,2.2, 84 , 150 , 171 , 405 ,97.1, 417 , 15 , 432 ,2.7
Orewa,15,63,75,2.4, 522 ," 1,179 "," 1,314 "," 3,015 ",97.6," 3,090 ", 126 ," 3,213 ",2.2
Silverdale Central,..C,..C,..C,..C, 21 , 54 , 111 , 183 ,98.4, 186 , 3 , 192 ,2.8
Red Beach West,..C,12,12,1.4, 126 , 381 , 327 , 834 ,98.6, 846 , 18 , 864 ,2.4
Red Beach East,..C,18,18,1.3, 231 , 504 , 603 ," 1,338 ",98.7," 1,356 ", 48 ," 1,404 ",2.5
Manly,..C,33,33,1.4, 375 , 879 ," 1,071 "," 2,325 ",98.5," 2,361 ", 57 ," 2,418 ",2.5
Army Bay,..C,18,18,1.6, 174 , 357 , 600 ," 1,128 ",98.4," 1,146 ", 21 ," 1,170 ",2.8
Vipond,..C,15,18,1.9, 189 , 402 , 330 , 921 ,98.4, 936 , 18 , 957 ,2.6
Stanmore Bay West,6,18,24,2.7, 192 , 333 , 336 , 858 ,96.9, 885 , 21 , 903 ,2.9
Stanmore Bay East,6,21,27,3.2, 186 , 318 , 321 , 828 ,97.2, 852 , 42 , 897 ,2.6
Wade Heads,6,30,33,3.5, 162 , 333 , 420 , 915 ,96.5, 948 , 33 , 984 ,2.7
Gulf Harbour,..C,9,9,1.4, 75 , 204 , 375 , 654 ,98.6, 663 , 24 , 687 ,2.7
Gulf Harbour Marina,..C,..C,..C,..C, ..C , ..C , ..C , 6 ,..C, 3 , ..C , 6 ,1.5
Weiti River,..C,6,6,4.3, 45 , 39 , 51 , 132 ,93.6, 141 , 9 , 150 ,2.6
Stillwater,..C,..C,3,1.1, 48 , 123 , 99 , 270 ,98.9, 273 , 9 , 285 ,2.8
Silverdale South,..C,6,6,2.1, 63 , 90 , 126 , 276 ,97.9, 282 , 9 , 288 ,3.0
Silverdale North,..C,9,9,3.6, 51 , 78 , 111 , 240 ,96.4, 249 , 15 , 264 ,3.0
Orewa West,..C,..C,..C,..C, 6 , 3 , 12 , 21 ,100.0, 21 , ..C , 21 ,3.0
Dairy Flat-Redvale,..C,9,9,1.3, 126 , 210 , 342 , 675 ,98.3, 687 , 18 , 708 ,3.0
Paremoremo West,..C,3,6,2.8, 33 , 60 , 114 , 210 ,97.2, 216 , 6 , 222 ,3.1
Tauhoa-Puhoi,9,33,42,3.1, 219 , 408 , 678 ," 1,305 ",96.9," 1,347 ", 81 ," 1,425 ",2.8
Tahekeroa,6,24,30,2.7, 192 , 360 , 510 ," 1,065 ",97.5," 1,092 ", 45 ," 1,140 ",3.0
Matheson Bay,..C,..C,..C,..C, 6 , 18 , 24 , 45 ,93.8, 48 , ..C , 48 ,2.3
Kawau,..C,..C,..C,..C, 9 , 12 , 21 , 42 ,100.0, 42 , ..C , 45 ,1.9
Snells Beach,6,21,27,2.1, 168 , 384 , 678 ," 1,230 ",97.9," 1,257 ", 57 ," 1,311 ",2.4
Algies Bay,..C,..C,..C,..C, 30 , 69 , 141 , 240 ,98.8, 243 , 6 , 252 ,2.3
Mahurangi,..C,..C,..C,..C, 9 , 39 , 72 , 114 ,97.4, 117 , 3 , 120 ,2.3
South Head,3,9,15,3.4, 87 , 129 , 204 , 423 ,96.6, 438 , 57 , 495 ,2.6
Parakai Rural,..C,3,6,3.3, 42 , 54 , 81 , 177 ,96.7, 183 , 3 , 186 ,2.7
Parakai Urban,3,21,24,8.2, 84 , 93 , 90 , 267 ,90.8, 294 , 39 , 330 ,2.5
Kaukapakapa Rural,..C,15,15,2.2, 123 , 219 , 318 , 663 ,97.8, 678 , 33 , 711 ,2.8
Kaukapakapa,..C,..C,..C,..C, 39 , 45 , 54 , 135 ,97.8, 138 , 6 , 144 ,3.0
Helensville South,3,6,12,7.5, 27 , 45 , 78 , 147 ,92.5, 159 , 6 , 165 ,3.0
Rewiti,6,12,18,2.9, 132 , 189 , 273 , 594 ,97.1, 612 , 30 , 642 ,2.9
Riverhead,..C,15,15,1.6, 162 , 279 , 462 , 903 ,98.4, 918 , 39 , 957 ,3.1
Muriwai Beach,..C,12,12,3.3, 108 , 132 , 111 , 348 ,95.9, 363 , 33 , 396 ,2.6
Muriwai Valley,..C,3,9,5.4, 33 , 57 , 69 , 162 ,96.4, 168 , 18 , 186 ,3.2
Waitakere West,..C,3,6,3.2, 51 , 57 , 72 , 180 ,96.8, 186 , 21 , 207 ,2.8
Point Wells,..C,..C,..C,..C, 24 , 42 , 84 , 147 ,98.0, 150 , ..C , 153 ,2.2
Omaha,..C,..C,..C,..C, 18 , 42 , 114 , 174 ,100.0, 174 , ..C , 177 ,2.2
Matakana,..C,..C,..C,..C, 21 , 21 , 33 , 75 ,96.2, 78 , ..C , 81 ,2.9
Cape Rodney,6,21,24,2.7, 138 , 276 , 435 , 849 ,96.9, 876 , 48 , 921 ,2.8
Cape Rodney South,..C,15,15,1.7, 147 , 249 , 465 , 858 ,98.3, 873 , 24 , 897 ,2.6
Helensville,6,30,36,4.1, 207 , 291 , 342 , 840 ,95.9, 876 , 51 , 927 ,2.7
Awaruku,..C,21,21,1.8, 204 , 414 , 531 ," 1,149 ",98.2," 1,170 ", 15 ," 1,182 ",3.0
Glamorgan,6,18,24,2.2, 201 , 414 , 441 ," 1,056 ",97.8," 1,080 ", 24 ," 1,104 ",2.9
Torbay,6,33,39,2.3, 303 , 567 , 813 ," 1,680 ",97.9," 1,716 ", 27 ," 1,746 ",2.7
Waiake,..C,33,36,2.5, 261 , 507 , 621 ," 1,389 ",97.7," 1,422 ", 18 ," 1,443 ",2.8
Browns Bay,..C,27,33,2.2, 291 , 576 , 573 ," 1,443 ",97.8," 1,476 ", 33 ," 1,509 ",2.6
Oaktree,3,33,36,2.4, 294 , 507 , 636 ," 1,434 ",97.6," 1,470 ", 27 ," 1,497 ",3.0
Rothesay Bay,6,30,36,2.2, 327 , 537 , 753 ," 1,614 ",97.6," 1,653 ", 39 ," 1,689 ",2.9
Murrays Bay,6,24,30,2.0, 222 , 525 , 729 ," 1,476 ",97.8," 1,509 ", 18 ," 1,527 ",3.0
Mairangi Bay,6,24,36,2.0, 276 , 603 , 855 ," 1,734 ",98.1," 1,767 ", 21 ," 1,788 ",2.9
Campbells Bay,..C,9,9,1.2, 90 , 249 , 408 , 750 ,98.4, 762 , 3 , 765 ,2.9
Castor Bay,..C,15,15,1.5, 147 , 303 , 567 ," 1,011 ",98.3," 1,029 ", 21 ," 1,050 ",2.7
Crown Hill,..C,30,30,2.5, 213 , 429 , 537 ," 1,176 ",97.3," 1,209 ", 24 ," 1,233 ",2.6
Lake Pupuke,6,39,45,2.1, 444 , 804 , 810 ," 2,058 ",97.9," 2,103 ", 81 ," 2,184 ",2.4
Westlake,12,72,84,4.9, 495 , 666 , 489 ," 1,647 ",95.1," 1,731 ", 51 ," 1,782 ",2.4
Takapuna Central,..C,21,24,2.1, 195 , 432 , 480 ," 1,104 ",97.9," 1,128 ", 60 ," 1,191 ",2.2
Hauraki,15,48,63,3.0, 381 , 795 , 843 ," 2,022 ",97.0," 2,085 ", 75 ," 2,160 ",2.6
Seacliffe,9,27,36,2.9, 306 , 489 , 393 ," 1,191 ",96.8," 1,230 ", 42 ," 1,269 ",2.6
Bayswater,6,18,24,2.9, 207 , 279 , 327 , 810 ,97.1, 834 , 18 , 855 ,2.7
Kaipatiki,15,87,102,7.6, 306 , 468 , 474 ," 1,248 ",92.7," 1,347 ", 39 ," 1,386 ",2.9
Windy Ridge,15,36,51,4.4, 267 , 396 , 441 ," 1,101 ",95.3," 1,155 ", 42 ," 1,194 ",2.8
Glenfield Central,27,87,114,7.4, 381 , 525 , 528 ," 1,434 ",92.6," 1,548 ", 36 ," 1,584 ",2.8
Glenfield North,15,72,90,6.8, 348 , 474 , 420 ," 1,242 ",93.2," 1,332 ", 42 ," 1,374 ",2.9
Glendhu,18,48,69,4.0, 408 , 648 , 585 ," 1,641 ",95.8," 1,713 ", 36 ," 1,749 ",2.9
Witheford,18,42,57,5.8, 219 , 360 , 339 , 918 ,93.9, 978 , 30 ," 1,005 ",3.0
Target Road,24,123,144,6.8, 582 , 774 , 615 ," 1,971 ",93.2," 2,115 ", 51 ," 2,166 ",2.9
Forrest Hill,21,63,84,4.8, 390 , 645 , 627 ," 1,665 ",95.4," 1,746 ", 36 ," 1,782 ",2.9
Sunnynook,21,69,93,4.4, 531 , 750 , 750 ," 2,031 ",95.6," 2,124 ", 45 ," 2,172 ",3.0
Monarch Park,18,48,60,3.6, 330 , 573 , 690 ," 1,596 ",96.4," 1,656 ", 27 ," 1,686 ",2.8
Sunnybrae,9,45,54,5.2, 255 , 381 , 354 , 993 ,94.8," 1,047 ", 45 ," 1,092 ",2.7
Albany,..C,18,21,3.0, 183 , 213 , 285 , 681 ,97.0, 702 , 60 , 765 ,2.8
Fairview,..C,6,9,2.0, 105 , 174 , 159 , 438 ,98.0, 447 , 6 , 450 ,2.4
Northcross,..C,24,27,2.5, 300 , 399 , 369 ," 1,065 ",97.5," 1,092 ", 24 ," 1,113 ",2.7
Unsworth Heights,21,48,69,4.2, 345 , 573 , 645 ," 1,563 ",95.8," 1,632 ", 12 ," 1,647 ",3.2
Pinehill,..C,21,24,3.3, 150 , 249 , 315 , 711 ,96.7, 735 , 33 , 768 ,3.5
Windsor Park,9,21,27,4.0, 183 , 288 , 174 , 642 ,96.0, 669 , 30 , 699 ,2.5
North Harbour West,..C,15,18,2.2, 138 , 270 , 405 , 813 ,97.8, 831 , 21 , 849 ,3.3
North Harbour East,9,39,48,3.8, 342 , 420 , 465 ," 1,224 ",96.2," 1,272 ", 30 ," 1,299 ",2.8
Long Bay,..C,..C,6,2.4, 45 , 84 , 117 , 249 ,98.8, 252 , 6 , 261 ,2.9
Paremoremo East,..C,9,9,1.5, 105 , 213 , 291 , 606 ,98.5, 615 , 18 , 633 ,3.0
