id,name
500100,Awanui
500202,Karikari Peninsula-Maungataniwha
500203,Taipa Bay-Mangonui
500204,Herekino
500205,Ahipara
500206,North Cape
500207,Houhora
500208,Motutangi-Kareponia
500301,Kaitaia West
500302,Kaitaia East
500401,Kaeo
500402,Mangapa-Matauri Bay
500500,Kohukohu
500600,Rawene
500700,Omapere and Opononi
500801,Hokianga North
500802,Hokianga South
500900,Kerikeri
501000,Russell
501100,Paihia
501200,Haruru Falls
501300,Opua East
501400,Kawakawa
501500,Moerewa
501612,Opua West
501614,Kapiro
501615,Waitangi
501620,Pokere-Waihaha
501631,Okaihau
501632,Ohaeawai
501633,Waihou Valley-Hupara
501634,Ngapuhi-Kaikou
501700,Kaikohe
501802,Opouteke-Tanekaha
501806,Marsden Point-Ruakaka
501807,Ngunguru
501809,Wharekohe-Oakleigh
501810,Maungatapere
501811,Waiotira-Springfield
501814,Punaruku-Kiripaka
501815,Bream Bay
501816,Waipu
501817,Pataua-Whareora
501818,Parua Bay
501819,Bream Head
502001,Springs Flat
502002,Three Mile Bush
502003,Te Hihi
502004,Abbey Caves
502005,Otaika-Portland
502101,Kamo West
502102,Kamo East
502201,Tikipunga West
502202,Tikipunga East
502300,Whau Valley
502400,Otangarei
502500,Western Hills
502600,Kensington
502700,Mairtown
502800,Regent
502900,Woodhill
503000,Vinetown
503100,Whangarei Central
503200,Riverside
503300,Horahora
503400,Maunu
503500,Raumanga East
503600,Morningside
503700,Parahaki
503800,Raumanga West
503900,Port-Limeburners
504000,Sherwood Rise
504100,Onerahi
504300,Hikurangi
504400,Te Kopuru
504501,Kaipara Coastal
504502,Maungaru
504600,Dargaville
504700,Maungaturoto
504800,Ruawai
504900,Kaiwaka
505010,Rehia-Oneriri
505021,Mangawhai
505022,Mangawhai Heads
505300,Wellsford
505400,Leigh
505500,Warkworth
505601,Waimauku
505602,Huapai
505603,Riverhead Urban
505604,Kumeu East
505605,Kumeu West
505700,Waipareira West
505803,Waiwera
505804,Hatfields Beach
505805,Orewa
505806,Silverdale Central
505807,Red Beach West
505808,Red Beach East
505902,Manly
505904,Army Bay
505906,Vipond
505907,Stanmore Bay West
505908,Stanmore Bay East
505909,Wade Heads
505910,Gulf Harbour
506001,Weiti River
506002,Stillwater
506003,Silverdale South
506201,Silverdale North
506202,Orewa West
506300,Dairy Flat-Redvale
506400,Paremoremo West
506613,Tauhoa-Puhoi
506614,Tahekeroa
506616,Matheson Bay
506620,Kawau
506631,Snells Beach
506633,Algies Bay
506634,Mahurangi
506642,South Head
506644,Parakai Rural
506645,Parakai Urban
506646,Kaukapakapa Rural
506647,Kaukapakapa
506648,Helensville South
506652,Rewiti
506653,Riverhead
506654,Muriwai Beach
506655,Muriwai Valley
506656,Waitakere West
506657,Point Wells
506658,Omaha
506659,Matakana
506660,Cape Rodney
506661,Cape Rodney South
506800,Helensville
506901,Awaruku
506902,Glamorgan
506903,Torbay
507000,Waiake
507101,Browns Bay
507102,Oaktree
