name,url,address,lat,lng
109 Doctors,/doctors/gp/109-doctors/,"109 Queen Street, Auckland Central, Auckland",-36.8462319,174.7659345
168 ○ Medical Centre,/doctors/gp/168-medical-centre/,"170 Sandringham Road, Sandringham, Auckland",-36.8779918,174.7410221
AUT Health/Medical Centre,/doctors/gp/aut-health-medical-centre/,,,
Alberton Medical Practice,/doctors/gp/alberton-medical-practice/,"230 Mount Albert Road, Sandringham, Auckland",-36.895866,174.73187689999997
All Care Family Medical Centre - Ponsonby,/doctors/gp/all-care-family-medical-centre-ponsonby-1/,All Care Family Medical Centre - Ponsonby,-36.8517649,174.7452287
Aotea Health,/doctors/gp/aotea-health/,,,
Auckland Central Medical & Health Centre,/doctors/gp/auckland-central-medical-health-centre/,"28 College Hill, Freemans Bay, Auckland",-36.8488058,174.74905749999994
Auckland City Doctors,/doctors/gp/auckland-city-doctors/,"415 Queen Street, Auckland Central, Auckland",-36.85702749999999,174.7615813
Auckland Family Medical Centre,/doctors/gp/auckland-family-medical-centre/,"94 Remuera Road, Remuera, Auckland",-36.8729204,174.7815174
Auckland Integrative Medical Centre,/doctors/gp/auckland-integrative-medical-centre/,"820 Mount Eden Road, Mount Eden, Auckland",-36.898148,174.7577248
Auckland Travel Clinic,/doctors/gp/auckland-travel-clinic/,"17 Emily Place, Auckland Central, Auckland",-36.8460912,174.7706206
Avondale Family Doctor,/doctors/gp/avondale-family-doctor/,"63 Rosebank Road, Avondale, Auckland",-36.8943755,174.6970595
Avondale Family Health Centre,/doctors/gp/avondale-family-health-centre/,"1784 Great North Road, Avondale",-36.891718,174.6962566
Avondale Health Centre,/doctors/gp/avondale-health-centre/,"39 Layard Street, Avondale, Auckland",-36.8981419,174.69890799999996
Avondale Medical Centre,/doctors/gp/avondale-medical-centre/,"256 Rosebank Road, Avondale, Auckland",-36.8857956,174.6835997
Balmoral Doctors,/doctors/gp/balmoral-doctors/,"502 Dominion Road, Mount Eden, Auckland",-36.8844868,174.7486438
Bayside Medical Practice,/doctors/gp/bayside-medical-practice/,"17 Patteson Avenue, Mission Bay, Auckland",-36.849545,174.8310685
Blockhouse Bay Medical Centre,/doctors/gp/blockhouse-bay-medical-centre/,"503 Blockhouse Bay Road, Blockhouse Bay, Auckland",-36.9223484,174.7008562
Cairnhill Health Centre,/doctors/gp/cairnhill-health-centre/,"95 Mountain Road, Epsom, Auckland",-36.87297,174.7685275
CityMed Doctors Ltd,/doctors/gp/citymed-doctors-ltd/,"Quay West Building, Auckland Central",-36.8448541,174.7654108
College Hill Doctors,/doctors/gp/college-hill-doctors/,"46 College Hill, Freemans Bay, Auckland",-36.8486298,174.7477917
Cornwall Medical Centre,/doctors/gp/cornwall-medical-centre/,"790 Manukau Road, Royal Oak, Auckland",-36.9115481,174.77625250000006
Doctors at Kingsland,/doctors/gp/doctors-at-kingsland/,"491A New North Road, Kingsland, Auckland",-36.87193934995948,174.7440665960312
Doctors on Jervois,/doctors/gp/doctors-on-jervois/,Doctors on Jervois,-36.8458991,174.7413596
Dominion Medical Centre,/doctors/gp/dominion-medical-centre-1/,"349 Mount Albert Road, Mount Roskill, Auckland",-36.903714,174.7400248
Dominion Road Surgery,/doctors/gp/dominion-road-surgery/,"123D Dominion Road, Mount Eden, Auckland",-36.8725822,174.7518855
Donovan Street Medical Centre,/doctors/gp/donovan-street-medical-centre-1/,Donovan Street Medical Centre,-36.9224204,174.7017782
Dr De Lacey Surgery,/doctors/gp/dr-de-lacey-surgery/,"17 Elstree Avenue, Glen Innes, Auckland",-36.8714668,174.86529340000004
Dr Nicholas Cooper,/doctors/gp/dr-nicholas-cooper/,"48 The Drive, Epsom, Auckland",-36.8913969,174.77077050000003
Dr Zhuang & Wah Surgery,/doctors/gp/dr-zhuang-wah-surgery/,"5/283 Ponsonby Road, Ponsonby, Auckland",-36.8482585,174.7443102
East Tamaki Healthcare (ETHC) - Glen Innes,/doctors/gp/east-tamaki-healthcare-ethc-glen-innes-1/,East Tamaki Healthcare (ETHC) Glen Innes,-36.8788902,174.8561936
East Tamaki Healthcare (ETHC) - Otahuhu,/doctors/gp/east-tamaki-healthcare-ethc-otahuhu/,"15-23 Station Road, Otahuhu, Auckland",-36.9426401,174.8404322
East Tamaki Healthcare (ETHC) - Sandringham Health Centre,/doctors/gp/east-tamaki-healthcare-ethc-sandringham-health/,"546 Sandringham Road, Sandringham, Auckland",-36.8918008,174.7366828
East Tamaki Healthcare (ETHC) - Stoddard Road,/doctors/gp/east-tamaki-healthcare-ethc-stoddard-road/,"20 Stoddard Road, Mount Roskill, Auckland",-36.9074859,174.73432230000003
East Tamaki Healthcare (ETHC) - Sylvia Park,/doctors/gp/east-tamaki-healthcare-ethc-sylvia-park/,Sylvia Park Shopping Centre,-36.9135005,174.8407995
EastMed Doctors,/doctors/gp/eastmed-doctors/,"eastMED Integrated Medical Centre, St Heliers",-36.8621229,174.8588211
Eden-Epsom Medical Centre,/doctors/gp/eden-epsom-medical-centre/,"475A Manukau Road, Epsom, Auckland",-36.8943762,174.7738878
Ellerslie Medical Centre,/doctors/gp/ellerslie-medical-centre/,"Cnr Robert & Morrin Streets, Ellerslie",-36.8930508,174.8081602
Epsom Family Health Centre,/doctors/gp/epsom-family-health-centre/,"691 Manukau Road, Royal Oak, Auckland",-36.9104783,174.77481910000006
Epsom Medical Care,/doctors/gp/epsom-medical-care/,"272 Manukau Road, Epsom, Auckland",-36.8862775,174.7757908
Epsom Medical Centre,/doctors/gp/epsom-medical-centre/,"102 Great South Road, Epsom, Auckland",-36.8796297,174.78300579999996
Four Kauri Family Medical Centre,/doctors/gp/four-kauri-family-medical-centre/,"743 New North Road, Mount Albert, Auckland",-36.8784863,174.72632999999996
Freemans Bay Medical Centre,/doctors/gp/freemans-bay-medical-centre/,"100 Wellington Street, Freemans Bay, Auckland",-36.8520951,174.7510544
Gabriel Medical Practice,/doctors/gp/gabriel-medical-practice/,"464 Richardson Road, Mount Roskill, Auckland",-36.9124613,174.7281034
Gavin Lobo Health Ltd,/doctors/gp/gavin-lobo-health-ltd/,"337 Dominion Road, Mt Eden",-36.8790067,174.74971449999998
Glenavon Doctor's Surgery,/doctors/gp/glenavon-doctors-surgery/,"271A Blockhouse Bay Road, Avondale, Auckland",-36.9066882,174.7014315
Greenwood Medical Centre,/doctors/gp/greenwood-medical-centre/,"641 Manukau Road, Royal Oak, Auckland",-36.9060132,174.7742012
Grey Lynn Family Medical Centre,/doctors/gp/grey-lynn-family-medical-centre/,"543 Great North Road, Grey Lynn, Auckland",-36.8648504,174.7376784
Hauora o Puketapapa - Roskill Union & Community Health,/doctors/gp/hauora-o-puketapapa-roskill-union-community/,"1492 Dominion Road Extension, Mount Roskill, Auckland",-36.921015,174.7361036
Health Star Medical Centre - Glen Innes,/doctors/gp/health-star-medical-centre-glen-innes/,"132 West Tamaki Road, Glen Innes, Auckland",-36.8693482,174.85994089999997
Healthcare Roskill South,/doctors/gp/healthcare-roskill-south/,"1259 Dominion Road Extension, Mount Roskill, Auckland",-36.921166,174.7355256
